Year,Price
1/30/1990,7.06
2/27/1990,7.85
3/30/1990,8.18
4/30/1990,8.97
5/31/1990,9.37
6/30/1990,9.84
7/31/1990,9.77
8/30/1990,9.63
9/30/1990,9.51
10/1/1990,9.60
11/30/1990,8.88
12/31/1990,8.43
1/31/1991,7.68
2/27/1991,8.31
3/30/1991,8.63
4/30/1991,9.01
5/31/1991,9.73
6/30/1991,9.77
7/30/1991,9.81
8/31/1991,9.68
9/30/1991,9.71
10/31/1991,9.61
11/30/1991,8.97
12/31/1991,8.44
1/31/1992,8.33
2/27/1992,8.83
3/30/1992,9.02
4/30/1992,9.52
5/31/1992,9.67
6/30/1992,10.19
7/30/1992,10.12
8/31/1992,10.13
9/30/1992,10.25
10/31/1992,10.18
11/30/1992,9.45
12/31/1992,8.64
1/31/1993,8.57
2/27/1993,8.85
3/30/1993,9.08
4/30/1993,9.36
5/31/1993,9.90
6/30/1993,10.26
7/30/1993,10.20
8/31/1993,10.20
9/30/1993,10.31
10/31/1993,10.25
11/30/1993,9.13
12/31/1993,8.65
1/31/1994,8.13
2/27/1994,8.34
3/30/1994,8.92
4/30/1994,9.15
5/31/1994,9.80
6/30/1994,10.04
7/30/1994,9.95
8/31/1994,9.78
9/30/1994,9.77
10/31/1994,9.79
11/30/1994,9.05
12/31/1994,7.96
1/31/1995,8.07
2/27/1995,8.52
3/30/1995,8.80
4/30/1995,8.82
5/31/1995,8.11
6/30/1995,9.66
7/30/1995,9.55
8/31/1995,9.48
9/30/1995,9.44
10/31/1995,9.47
11/30/1995,8.57
12/31/1995,8.34
1/31/1996,7.98
2/27/1996,8.45
3/30/1996,8.46
4/30/1996,8.96
5/31/1996,9.23
6/30/1996,9.40
7/30/1996,9.31
8/31/1996,9.28
9/30/1996,9.28
10/31/1996,9.34
11/30/1996,8.73
12/31/1996,8.09
1/31/1997,7.83
2/27/1997,7.92
3/30/1997,8.25
4/30/1997,8.64
5/31/1997,9.22
6/30/1997,9.37
7/30/1997,9.27
8/31/1997,9.25
9/30/1997,9.16
10/31/1997,9.30
11/30/1997,8.57
12/31/1997,8.00
1/31/1998,7.56
2/27/1998,7.74
3/30/1998,7.88
4/30/1998,8.52
5/31/1998,9.42
6/30/1998,9.38
7/30/1998,9.10
8/31/1998,9.24
9/30/1998,9.13
10/31/1998,9.14
11/30/1998,8.27
12/31/1998,7.84
1/31/1999,7.11
2/27/1999,7.21
3/30/1999,7.71
4/30/1999,7.81
5/31/1999,8.81
6/30/1999,8.71
7/30/1999,8.31
8/31/1999,8.41
9/30/1999,8.41
10/31/1999,8.51
11/30/1999,7.51
12/31/1999,13.52
1/31/2000,7.41
2/27/2000,8.00
3/30/2000,7.90
4/30/2000,8.17
5/31/2000,9.04
6/30/2000,9.09
7/30/2000,8.90
8/31/2000,8.84
9/30/2000,8.85
10/31/2000,9.03
11/30/2000,7.31
12/31/2000,7.24
1/30/2001,6.99
2/28/2001,7.13
3/30/2001,7.40
4/30/2001,8.09
5/30/2001,9.41
6/30/2001,9.04
7/30/2001,8.84
8/30/2001,8.84
9/30/2001,8.81
10/30/2001,8.95
11/30/2001,7.17
12/30/2001,7.26
1/30/2002,7.01
2/28/2002,7.17
3/30/2002,7.46
4/30/2002,7.69
5/30/2002,9.37
6/30/2002,8.97
7/30/2002,8.65
8/30/2002,8.78
9/30/2002,8.79
10/30/2002,8.99
11/30/2002,7.37
12/30/2002,7.46
1/30/2003,7.06
2/28/2003,7.57
3/30/2003,7.59
4/30/2003,7.82
5/30/2003,9.52
6/30/2003,9.09
7/30/2003,8.78
8/30/2003,8.74
9/30/2003,8.70
10/30/2003,8.83
11/30/2003,7.21
12/30/2003,7.55
1/30/2004,7.27
2/29/2004,7.49
3/30/2004,7.61
