YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE
1997,40,1291,0
1997,41,1513,0.727032
1997,42,1552,1.09536
1997,43,1669,0.419413
1997,44,1897,0.527148
1997,45,2106,0.2849
1997,46,2204,0.362976
1997,47,2533,0.908014
1997,48,2242,1.65031
1997,49,2607,1.53433
1997,50,3086,3.17563
1997,51,3410,7.1261
1997,52,3349,12.6008
1997,53,4402,17.9464
1998,1,5294,19.3049
1998,2,5501,20.9235
1998,3,6196,25.6133
1998,4,6730,28.0684
1998,5,6288,26.7176
1998,6,5867,24.3736
1998,7,4904,20.1264
1998,8,3975,14.239
1998,9,3169,9.6876
1998,10,2658,7.5997
1998,11,2234,5.41629
1998,12,2048,4.10156
1998,13,1683,2.79263
1998,14,1532,2.21932
1998,15,1357,2.87399
1998,16,1421,1.47783
1998,17,1236,1.2945
1998,18,1142,1.40105
1998,19,1038,0.867052
1998,20,938,0.959488
1998,21,0,0
1998,22,0,0
1998,23,0,0
1998,24,0,0
1998,25,0,0
1998,26,0,0
1998,27,0,0
1998,28,0,0
1998,29,0,0
1998,30,0,0
1998,31,0,0
1998,32,0,0
1998,33,0,0
1998,34,0,0
1998,35,0,0
1998,36,0,0
1998,37,0,0
1998,38,0,0
1998,39,0,0
1998,40,1407,0.142146
1998,41,1453,0.344116
1998,42,1654,0.181378
1998,43,1814,0.330761
1998,44,2051,0.877621
1998,45,2222,0.630063
1998,46,2051,0.390054
1998,47,1809,0.939746
1998,48,2397,1.16813
1998,49,2432,1.85033
1998,50,2428,1.72982
1998,51,2207,3.76076
1998,52,2706,5.91279
1999,1,3524,9.39274
1999,2,3889,14.7596
1999,3,4262,20.2956
1999,4,5210,22.0729
1999,5,6143,27.3156
1999,6,6574,28.2933
1999,7,6723,25.5094
1999,8,6616,25.2267
1999,9,5933,23.3777
1999,10,4289,20.5875
1999,11,4014,15.6203
1999,12,3242,14.3122
1999,13,2712,8.25959
1999,14,2222,7.92079
1999,15,1721,6.44974
1999,16,1368,2.63158
1999,17,1108,2.52708
1999,18,982,1.73116
1999,19,801,1.1236
1999,20,618,1.13269
1999,21,239,2.92887
1999,22,97,1.03093
1999,23,20,0
1999,24,0,0
1999,25,0,0
1999,26,0,0
1999,27,0,0
1999,28,0,0
1999,29,0,0
1999,30,0,0
1999,31,0,0
1999,32,0,0
1999,33,0,0
1999,34,0,0
1999,35,0,0
1999,36,0,0
1999,37,0,0
1999,38,0,0
1999,39,0,0
1999,40,1687,1.06698
1999,41,1883,1.06213
1999,42,2097,2.2413
1999,43,2162,2.63645
1999,44,2454,3.91198
1999,45,2576,5.74534
1999,46,2862,8.07128
1999,47,2709,10.5574
1999,48,3845,13.7061
1999,49,4422,19.109
1999,50,5597,23.3339
1999,51,5575,30.9596
1999,52,7323,29.3732
2000,1,8423,24.9674
2000,2,7722,21.3028
2000,3,6242,16.7254
2000,4,5482,12.6779
2000,5,4550,10.6593
2000,6,4059,10.1503
2000,7,3523,7.46523
2000,8,3142,6.36537
2000,9,2698,3.70645
2000,10,2195,3.41686
2000,11,1960,2.70408
2000,12,1879,1.75625
